  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
    20,    0.0000,   12.2926,   12.5214,    2.4949,   51.9988,   51.1073,    7.5799,    7.9650,    9.4101,   10.2205,    0.0000,    0.0000,    0.0000,   25.1970,    0.0000,    0.0000,  224.3524,  224.4609,    0.0098,    0.0225,    4.6914,   25.5145,  165.8832,   20.3264,    6.4978,      3060
    21,    0.0000,   11.4625,   12.3264,    2.5015,   52.0347,   51.1222,    7.3989,    7.9743,    9.2491,    9.7750,    0.0000,    0.0000,    0.0000,   26.6057,    0.0000,    0.0000,  223.7878,  223.8924,    0.0104,    0.0214,    4.6501,   26.8759,  164.1488,   19.6537,    7.0185,      3060
    22,    0.0000,   12.0606,   11.6619,    2.7511,   51.9027,   51.0040,    7.4340,    7.9200,    9.6166,    9.9060,    0.0000,    0.0000,    0.0000,   26.0009,    0.0000,    0.0000,  223.3337,  223.4436,    0.0098,    0.0224,    4.6730,   26.3135,  164.5527,   18.9952,    7.3436,      3060
    23,    0.0000,   13.4133,   10.7176,    2.9051,   51.9508,   50.9716,    7.6121,    7.9968,    9.7921,    9.6282,    0.0000,    0.0000,    0.0000,   24.5514,    0.0000,    0.0000,  222.9780,  223.1020,    0.0106,    0.0248,    4.5958,   24.9873,  165.3043,   19.1356,    7.5342,      3060
    24,    0.0000,   12.5845,   10.0148,    2.6550,   51.8162,   51.0210,    7.4822,    7.8193,   10.0797,    9.9618,    0.0000,    0.0000,    0.0000,   25.6637,    0.0000,    0.0000,  221.5224,  221.6186,    0.0097,    0.0215,    4.5427,   26.0042,  163.7042,   19.1090,    6.6371,      3060
    25,    0.0000,   13.1202,    9.4298,    2.8822,   51.8513,   51.0851,    7.6682,    7.8976,   10.0976,    9.7629,    0.0000,    0.0000,    0.0000,   24.8387,    0.0000,    0.0000,  220.9209,  221.0137,    0.0096,    0.0208,    4.6032,   25.2316,  164.0543,   18.4987,    6.9827,      3060
    26,    0.0000,   13.1246,    9.5995,    2.8775,   51.9127,   51.0631,    7.5080,    7.8775,   11.1022,    9.6797,    0.0000,    0.0000,    0.0000,   24.0476,    0.0000,    0.0000,  218.2303,  218.3156,    0.0090,    0.0165,    4.4503,   24.5921,  164.9980,   14.7721,    7.9011,      3060
    27,    0.0000,   13.6535,    9.6445,    2.6499,   52.0436,   51.2354,    7.4801,    7.9475,   10.9076,    9.8009,    0.0000,    0.0000,    0.0000,   24.7502,    0.0000,    0.0000,  217.1585,  217.2554,    0.0085,    0.0187,    3.8819,   25.5188,  165.6440,   12.7713,    8.3315,      3060
    28,    0.0000,   14.6130,   13.6827,    2.3526,   52.0790,   51.3263,    7.3344,    7.8246,   11.7740,    9.5563,    0.0000,    0.0000,    0.0000,   21.6817,    0.0000,    0.0000,  223.0645,  223.1649,    0.0087,    0.0193,    4.3574,   22.9158,  170.8586,   16.6873,    6.9766,      3060
    29,    0.0000,   13.3160,   13.1782,    2.7083,   51.9637,   51.0604,    7.4295,    7.8898,   11.4885,    9.7425,    0.0000,    0.0000,    0.0000,   24.2969,    0.0000,    0.0000,  224.3971,  224.4791,    0.0082,    0.0163,    4.3385,   24.8457,  169.0430,   19.0043,    5.9589,      3060
